ID,name,displayName,latitude,longitude,region,subregion
0,Afghanistan,Afghanistan,33,65,ASIA,
1,Albania,Albania,41,20,EUROPE,
2,Algeria,Algeria,28,3,AFRICA,NORTHERN AFRICA
3,Andorra,Andorra,42.5,1.5,EUROPE,
4,Angola,Angola,-12.5,18.5,AFRICA,
5,Antigua & Barbuda,Antigua & Barbuda,17.05,-61.8,AMERICAS,
6,Argentina,Argentina,-34,-64,AMERICAS,LATIN AMERICA AND THE CARIBBEAN
7,Armenia,Armenia,40,45,ASIA,WESTERN ASIA
8,Australia,Australia,-27,133,OCEANIA,AUSTRALIA AND NEW ZEALAND
9,Austria,Austria,47.33,13.33,EUROPE,WESTERN EUROPE
10,Azerbaijan,Azerbaijan,40.5,47.5,ASIA,
11,Bahamas,Bahamas,24.25,-76,AMERICAS,
12,Bahrain,Bahrain,26,50.55,MIDDLE EAST,
13,Bangladesh,Bangladesh,24,90,ASIA,SOUTHERN ASIA
14,Barbados,Barbados,13.17,-59.53,AMERICAS,
15,Belarus,Belarus,53,28,EUROPE,EASTERN EUROPE
16,Belgium,Belgium,50.83,4,EUROPE,
17,Belize,Belize,17.25,-88.75,AMERICAS,
18,Benin,Benin,9.5,2.25,AFRICA,
19,Bhutan,Bhutan,27.5,90.5,ASIA,
20,Bolivia,Bolivia,-17,-65,AMERICAS,LATIN AMERICA AND THE CARIBBEAN
21,Bosnia & Herzegovina,Bosnia & Herzegovina,44,18,EUROPE,
22,Botswana,Botswana,-22,24,AFRICA,
23,Brazil,Brazil,-10,-55,AMERICAS,LATIN AMERICA AND THE CARIBBEAN
24,Brunei Darusalam,Brunei Darusalam,4.5,114.67,ASIA,
25,Bulgaria,Bulgaria,43,25,EUROPE,EASTERN EUROPE
26,Burkina Faso,Burkina Faso,13,-2,AFRICA,
27,Burundi,Burundi,-3.5,30,AFRICA,
28,Cambodia,Cambodia,13,105,ASIA,SOUTH-EASTERN ASIA
29,Cameroon,Cameroon,6,12,AFRICA,
30,Canada,Canada,60,-95,AMERICAS,NORTHERN AMERICA
31,Cape Verde,Cape Verde,16,-24,AFRICA,
32,Central African Republic,Central African Republic,7,21,AFRICA,
33,Chad,Chad,15,19,AFRICA,
34,Chile,Chile,-30,-71,AMERICAS,LATIN AMERICA AND THE CARIBBEAN
35,China,China,35,105,ASIA,EASTERN ASIA
36,Colombia,Colombia,4,-72,AMERICAS,LATIN AMERICA AND THE CARIBBEAN
37,Comoros,Comoros,-12.17,44.25,AFRICA,
38,Congo (Rep of the),Congo (Rep of the),-1,15,AFRICA,
39,Congo (Dem Rep of the),Congo (Dem Rep of the),0,25,AFRICA,SUB-SAHARAN AFRICA
40,Cook Islands,Cook Islands,-21.23,-159.77,OCEANIA,
41,Costa Rica,Costa Rica,10,-84,AMERICAS,
42,Ivory Coast,Ivory Coast,8,-5,AFRICA,
43,Croatia,Croatia,45.17,15.5,EUROPE,
44,Cuba,Cuba,21.5,-80,AMERICAS,LATIN AMERICA AND THE CARIBBEAN
45,Cyprus,Cyprus,35,33,MIDDLE EAST,
46,Czech Republic,Czech Republic,49.75,15.5,EUROPE,EASTERN EUROPE
47,Denmark,Denmark,56,10,EUROPE,
48,Djibouti,Djibouti,11.5,43,AFRICA,
49,Dominica,Dominica,15.42,-61.33,AMERICAS,
50,Dominican Republic,Dominican Republic,19,-70.67,AMERICAS,
51,North Korea,North Korea,40,127,ASIA,
52,Ecuador,Ecuador,-2,-77.5,AMERICAS,LATIN AMERICA AND THE CARIBBEAN
53,Egypt,Egypt,27,30,AFRICA,NORTHERN AFRICA
54,El Salvador,El Salvador,13.83,-88.92,AMERICAS,
55,Equatorial Guinea,Equatorial Guinea,2,10,AFRICA,
56,Eritrea,Eritrea,15,39,AFRICA,
57,Estonia,Estonia,59,26,EUROPE,
58,Ethiopia,Ethiopia,8,38,AFRICA,SUB-SAHARAN AFRICA
59,Fiji,Fiji,-18,175,OCEANIA,
60,Finland,Finland,64,26,EUROPE,NORTHERN EUROPE
61,France,France,46,2,EUROPE,WESTERN EUROPE
62,Gabon,Gabon,-1,11.75,AFRICA,
63,Gambia,Gambia,13.47,-16.57,AFRICA,
