ID,year,value
190,1914,253205
190,1915,257648
190,1916,277421
190,1917,658584
190,1918,7014226
190,1919,11217796
190,1920,1657118
190,1921,1116342
190,1922,860853
190,1923,678256
190,1924,570142
190,1925,589706
190,1926,558004
190,1927,596501
190,1928,678100
190,1929,701300
190,1930,699200
190,1931,698900
190,1932,641600
190,1933,570400
190,1934,803100
190,1935,806400
190,1936,932600
190,1937,1032900
190,1938,1131499
190,1939,980000
190,1940,1657000
190,1941,6301000
190,1942,26001000
190,1943,72109000
190,1944,87000000
190,1945,90000000
190,1946,45133984
190,1947,14315999
190,1948,10960998
190,1949,13503000
190,1950,14559000
190,1951,33398000
190,1952,47852000
190,1953,49621008
190,1954,42786000
190,1955,40518000
190,1956,41773008
190,1957,44548000
190,1958,45503008
190,1959,46614000
190,1960,45380000
190,1961,47808000
190,1962,52381008
190,1963,52295008
190,1964,51213008
190,1965,51827008
190,1966,67572000
190,1967,75448000
190,1968,80732000
190,1969,81446000
190,1970,77827008
190,1971,74862000
190,1972,77639000
190,1973,78385000
190,1974,85906000
190,1975,90948000
190,1976,91013000
190,1977,100925000
190,1978,109247000
190,1979,122279000
190,1980,143981000
190,1981,169888000
190,1982,196345000
190,1983,217198000
190,1984,237052000
190,1985,245154000
190,1986,265480000
190,1987,273966000
190,1988,281935000
190,1989,294880000
190,1990,289755000
190,1991,262389000
190,1992,286892000
190,1993,297600000
190,1994,293214000
190,1995,277834000
190,1996,277254000
190,1997,276324000
190,1998,279702000
190,1999,292147000
190,2000,303136000
190,2001,322365000
190,2002,348555000
190,2003,404920000
190,2004,455908000
190,2005,495326000
190,2006,521840000
190,2007,552568000
190,2008,616073000
190,2009,662049000
190,2010,693600000
190,2011,687000000
190,2012,655388000
30,1920,10755
30,1921,10209
30,1922,10028
30,1923,13316
30,1924,12824
30,1925,12984
30,1926,13936
30,1927,16745
30,1928,18862
30,1929,21058
30,1930,22649
30,1931,18263
30,1932,11999
30,1933,17149
30,1934,12943
30,1935,24921
30,1936,24762
30,1937,32419
30,1938,35282
30,1939,125700
30,1940,730100
30,1941,1038380
30,1942,2321324
30,1943,3841192
30,1944,3622309
30,1945,2664365
30,1946,1552759
30,1947,385771
30,1948,195025
30,1949,370149
30,1950,447964
30,1951,1150942
30,1952,1843656
30,1953,2028835
30,1954,1818274
30,1955,1883021
30,1956,1889889
30,1957,1905207
30,1958,1766497
30,1959,1703318
30,1960,1735570
30,1961,1722891
30,1962,1735210
30,1963,1588421
30,1964,1677304
30,1965,1544548
30,1966,1642790
30,1967,1813063
30,1968,1782772
30,1969,1770133
30,1970,1920602
30,1971,2110319
30,1972,2260834
30,1973,2404759
30,1974,2926380
30,1975,3074729
30,1976,3639959
30,1977,3877762
30,1978,4016964
30,1979,4119005
30,1980,4387240
30,1981,5246444
30,1982,6182339
30,1983,6562003
30,1984,7195604
30,1985,6809000
30,1986,7180000
30,1987,7960000
30,1988,8830000
30,1989,9480000
30,1990,10280000
30,1991,11420000
30,1992,10310000
30,1993,9600000
30,1994,9695000
30,1995,9126000
30,1996,8624000
30,1997,7801000
30,1998,7677000
30,1999,8395000
30,2000,8320000
30,2001,7745000
30,2002,8522000
30,2003,10102000
30,2004,11501000
30,2005,13224000
30,2006,15103000
30,2007,18491000
30,2008,19836000
30,2009,19575000
30,2010,20240000
30,2011,20081000
30,2012,18445000
44,1919,14374
44,1920,16979
44,1921,17444
44,1922,14133
44,1923,9506
44,1924,9516
44,1925,12043
44,1926,12471
44,1927,12313
44,1928,12846
44,1929,12734
44,1930,11988
44,1931,10100
44,1932,9795
44,1933,7894
44,1934,12195
44,1935,14488
44,1936,18385
44,1937,18485
44,1938,18385
44,1939,18477
44,1940,17416
44,1942,15794
44,1948,39943
44,1950,39175
44,1952,56000
44,1953,53000
44,1955,54000
44,1956,51000
44,1957,56100
44,1960,175000
44,1961,175000
44,1962,200000
44,1963,200000
44,1964,200000
44,1965,140000
44,1966,230000
44,1967,170000
44,1968,213000
44,1969,186000
44,1970,228000
44,1971,290000
44,1972,267000
44,1973,270000
44,1974,282000
44,1975,326000
44,1977,770000
44,1978,1031579
44,1979,1136486
44,1980,1126388
44,1981,1272515
44,1982,1330000
44,1983,1338001
44,1984,1357214
44,1985,1350000
44,1986,1480000
44,1987,1660000
44,1988,2240000
44,1989,1830000
44,1990,1691000
44,1991,1160000
44,1994,356
44,1995,700000
44,1996,715000
44,1997,720000
44,1998,765000
44,1999,750000
44,2000,735000
44,2001,735000
44,2002,1152000
44,2003,1208000
44,2004,1320000
44,2005,1444000
44,2006,1668000
44,2007,2148000
44,2008,2296000
44,2009,19060000
44,2011,96000
50,1924,1081
50,1925,964
50,1926,860
50,1927,1500
50,1928,1600
50,1929,1500
50,1930,1100
50,1931,1100
50,1932,1100
50,1933,1100
50,1934,1200
50,1935,1000
50,1936,1800
50,1937,2000
50,1938,1900
50,1939,1900
50,1942,2113
50,1943,2355
50,1944,3141
50,1945,3574
50,1946,3856
50,1947,5500
50,1950,17649
50,1953,25178
50,1954,22369
50,1955,30372
50,1958,34500
50,1959,42600
50,1960,33400
50,1961,31600
50,1962,33100
50,1963,34000
50,1964,37000
50,1965,35000
50,1966,32400
50,1967,31200
50,1968,32500
50,1969,31000
50,1970,31600
50,1971,31900
50,1972,34400
50,1973,36600
50,1974,47600
50,1975,57200
50,1976,67400
50,1977,75800
50,1978,87100
50,1979,158000
50,1980,165000
50,1981,118000
50,1982,128000
50,1983,129000
50,1984,156000
50,1985,50990
50,1986,68690
50,1987,76600
50,1988,60000
50,1989,60620
50,1990,57210
50,1991,34790
50,1992,59000
50,1993,108000
50,1994,115000
50,1995,109000
50,1996,116000
50,1997,119000
50,1998,115000
50,1999,114000
50,2000,169000
50,2001,156000
50,2002,229000
50,2003,156000
50,2004,128000
50,2005,273000
50,2006,256000
50,2007,271000
50,2008,278000
50,2009,265000
50,2010,231000
50,2011,342000
50,2012,363000
114,1914,22000
114,1915,21500
114,1917,63500
114,1918,60000
114,1919,70526
114,1920,65792
114,1921,65402
114,1922,65651
114,1923,61277
114,1924,52014
114,1925,45218
114,1926,46032
114,1927,42145
114,1928,46849
114,1929,47287
114,1930,38441
114,1931,31412
114,1932,19491
114,1933,16610
114,1934,16672
114,1935,17433
114,1936,19300
114,1937,22478
114,1938,23033
114,1939,18600
114,1940,18146
114,1941,22633
114,1942,24691
114,1943,30246
114,1944,32921
114,1945,34979
114,1946,52037
114,1947,57058
114,1948,60576
114,1949,48110
114,1950,40000
114,1951,46012
114,1952,50289
114,1953,55376
114,1954,47093
114,1955,42674
114,1956,50600
114,1957,63411
114,1958,69015
114,1959,70697
114,1960,81745
114,1961,88951
114,1962,100720
114,1963,111129
114,1964,127222
114,1965,132186
114,1966,143235
114,1967,171978
114,1968,182946
114,1969,204003
114,1970,218014
114,1971,224000
114,1972,260800
114,1973,326400
114,1974,430400
114,1975,586200
114,1976,529625
114,1977,533541
114,1978,634413
114,1979,693575
114,1980,824147
114,1981,777120
114,1982,943004
114,1983,607856
114,1984,562331
114,1985,1170000
114,1986,612460
114,1987,937000
114,1988,646450
114,1989,640630
114,1990,678410
114,1991,674536
114,1992,1520000
114,1993,1656000
114,1994,2300000
114,1995,2366000
114,1996,3629000
114,1997,3664000
114,1998,3907000
114,1999,4289000
114,2000,5229000
114,2001,5733000
114,2002,3236000
114,2003,2938000
114,2004,2876000
114,2005,3123000
114,2006,3229000
114,2007,3982000
114,2008,4346000
114,2009,4769000
114,2010,5410000
114,2011,5051000
114,2012,5237000
17,1981,2000
17,1982,2000
17,1983,3000
17,1984,4000
17,1985,3432
17,1986,3500
17,1987,11320
17,1988,8960
17,1989,9940
17,1990,9680
17,1991,8000
17,1993,6900
17,1994,11000
17,1995,13000
17,1996,15000
17,1997,16000
17,1998,17000
17,1999,17000
17,2000,18000
17,2001,18000
17,2002,14000
17,2003,15000
17,2004,16000
17,2005,16000
17,2006,18000
17,2007,18000
17,2009,14000
17,2010,16000
17,2011,16000
17,2012,16000
69,1914,151
69,1915,234
69,1916,236
69,1922,126
69,1923,114
69,1924,869
69,1925,1203
69,1926,2204
69,1927,2100
69,1928,2100
69,1929,2000
69,1930,2000
69,1931,1500
69,1932,1700
69,1933,1400
69,1934,1600
69,1935,1900
69,1936,2100
69,1937,1800
69,1938,1900
69,1939,1880
69,1942,1900
69,1944,1900
69,1946,3366
69,1947,3474
69,1948,3871
69,1949,5161
69,1950,5062
69,1951,5558
69,1952,5955
69,1953,5955
69,1954,6650
69,1955,7940
69,1956,8800
69,1957,9300
69,1958,9800
69,1959,9800
69,1960,9400
69,1961,9200
69,1962,9300
69,1963,10200
69,1964,12700
69,1965,14300
69,1966,14700
69,1967,16400
69,1968,15700
69,1969,15600
69,1970,17200
69,1971,18500
69,1972,22500
69,1973,21500
69,1974,27400
69,1975,42900
69,1976,49600
69,1977,77700
69,1978,73200
69,1979,81899
69,1980,109090
69,1981,131209
69,1982,165114
69,1983,170009
69,1984,181288
69,1985,174000
69,1986,130770
69,1987,106320
69,1988,127000
69,1989,131000
69,1990,71780
69,1991,126000
69,1992,109160
69,1993,113000
69,1994,136000
69,1995,150000
69,1996,211000
69,1997,182000
69,1998,159000
69,1999,149000
69,2000,155000
69,2001,186000
69,2002,158000
69,2003,179000
69,2004,112000
69,2005,90000
69,2006,146000
69,2007,166000
69,2008,180000
69,2009,166000
69,2010,156000
69,2011,200000
69,2012,212000
75,1914,982
75,1917,882
75,1920,998
75,1922,999
75,1923,1091
75,1924,1005
75,1925,978
75,1926,1000
75,1927,900
75,1928,800
75,1929,900
75,1930,600
75,1931,650
75,1932,650
75,1933,750
75,1934,900
75,1935,1000
75,1936,1000
75,1937,1100
75,1938,1000
75,1939,1095
75,1940,1040
75,1942,1184
75,1943,1208
75,1944,1141
75,1945,1217
75,1946,1814
75,1947,2402
75,1948,3627
75,1949,2843
75,1950,2794
75,1951,3168
75,1952,3218
75,1953,3020
75,1954,3200
75,1955,3200
75,1956,4650
75,1957,4450
75,1958,4550
75,1959,4650
75,1960,4100
75,1961,7200
75,1962,7250
75,1963,7700
75,1964,5400
75,1965,5700
75,1966,6200
75,1967,6150
75,1968,6200
75,1969,7100
75,1970,8750
75,1971,11400
75,1972,15450
75,1973,15950
75,1974,16900
75,1975,21400
75,1976,23700
75,1977,25250
75,1978,31400
75,1979,33000
75,1980,59000
75,1981,45000
75,1982,60000
75,1983,70000
75,1984,90000
75,1985,71580
75,1986,67500
75,1987,138000
75,1988,124000
75,1989,138000
75,1990,45700
75,1991,61000
75,1992,42450
75,1993,44000
75,1994,45000
75,1995,54000
75,1996,100000
75,1997,101000
75,1998,99000
75,1999,95000
75,2000,95000
75,2001,96000
75,2002,55000
75,2003,53000
75,2004,52000
75,2005,53000
75,2006,55000
75,2007,76000
75,2008,96000
75,2009,111000
75,2010,135000
75,2011,141000
75,2012,151000
54,1914,1655
54,1920,1529
54,1921,169
54,1922,167
54,1923,137
54,1924,135
54,1925,165
54,1926,170
54,1927,199
54,1928,255
54,1929,219
54,1930,156
54,1931,158
54,1932,126
54,1933,115
54,1934,972
54,1935,1640
54,1936,1476
54,1937,1360
54,1938,1440
54,1939,1480
54,1942,1465
54,1943,1350
54,1944,1462
54,1945,1801
54,1946,1516
54,1947,1802
54,1948,2362
54,1949,2801
54,1950,3944
54,1951,4741
54,1952,5080
54,1953,6154
54,1954,5800
54,1955,6560
54,1956,6960
54,1957,7680
54,1958,7600
54,1959,6240
54,1960,6120
54,1961,6200
54,1962,8680
54,1963,8520
54,1964,8000
54,1965,9040
54,1966,9200
54,1967,9480
54,1968,9240
54,1969,10480
54,1970,9960
54,1971,11960
54,1972,12520
54,1973,25060
54,1974,26040
54,1975,27880
54,1976,37920
54,1977,50000
54,1978,58800
54,1979,68000
54,1980,72000
54,1981,116000
54,1982,139000
