ID,year,value
190,1816,17
190,1817,15
190,1818,14
190,1819,13
190,1820,15
190,1821,11
190,1822,10
190,1823,11
190,1824,11
190,1825,11
190,1826,12
190,1827,12
190,1828,11
190,1829,12
190,1830,12
190,1831,11
190,1832,12
190,1833,13
190,1834,13
190,1835,14
190,1836,17
190,1837,22
190,1838,18
190,1839,19
190,1840,22
190,1841,21
190,1842,23
190,1843,21
190,1844,21
190,1845,21
190,1846,39
190,1847,58
190,1848,60
190,1849,23
190,1850,21
190,1851,21
190,1852,21
190,1853,21
190,1854,21
190,1855,26
190,1856,26
190,1857,27
190,1858,29
190,1859,29
190,1860,28
190,1861,217
190,1862,673
190,1863,960
190,1864,1032
190,1865,1063
190,1866,77
190,1867,75
190,1868,66
190,1869,52
190,1870,50
190,1871,42
190,1872,42
190,1873,43
190,1874,44
190,1875,38
190,1876,41
190,1877,34
190,1878,36
190,1879,38
190,1880,38
190,1881,38
190,1882,38
190,1883,37
190,1884,39
190,1885,39
190,1886,39
190,1887,39
190,1888,39
190,1889,39
190,1890,39
190,1891,38
190,1892,39
190,1893,39
190,1894,42
190,1895,42
190,1896,42
190,1897,44
190,1898,236
190,1899,100
190,1900,126
190,1901,112
190,1902,111
190,1903,106
190,1904,110
190,1905,108
190,1906,112
190,1907,108
190,1908,129
190,1909,142
190,1910,139
190,1911,145
190,1912,153
190,1913,155
190,1914,166
190,1915,174
190,1916,179
190,1917,644
190,1918,2897
190,1919,1173
190,1920,343
190,1921,387
190,1922,270
190,1923,247
190,1924,261
190,1925,252
190,1926,247
190,1927,249
190,1928,251
190,1929,255
190,1930,256
190,1931,253
190,1932,245
190,1933,244
190,1934,247
190,1935,252
190,1936,291
190,1937,312
190,1938,323
190,1939,334
190,1940,458
190,1941,1801
190,1942,3859
190,1943,9045
190,1944,11452
190,1945,12123
190,1946,3030
190,1947,1583
190,1948,1446
190,1949,1615
190,1950,1460
190,1951,3249
190,1952,3636
190,1953,3555
190,1954,3302
190,1955,2935
190,1956,2806
190,1957,2796
190,1958,2411
190,1959,2328
190,1960,2306
190,1961,2307
190,1962,2807
190,1963,2700
190,1964,2687
190,1965,2660
190,1966,3090
190,1967,3380
190,1968,3550
190,1969,3460
190,1970,3070
190,1971,2720
190,1972,2323
190,1973,2206
190,1974,2146
190,1975,2098
190,1976,2075
190,1977,2060
190,1978,2060
190,1979,2033
190,1980,2050
190,1981,2101
190,1982,2168
190,1983,2201
190,1984,2222
190,1985,2244
190,1986,2269
190,1987,2280
190,1988,2250
190,1989,2240
190,1990,2180
190,1991,2110
190,1992,1920
190,1993,1810
190,1994,1710
190,1995,1620
190,1996,1570
190,1997,1530
190,1998,1510
190,1999,1490
190,2000,1366
190,2001,1368
190,2002,1414
190,2003,1427
190,2004,1450
190,2005,1474
190,2006,1546
190,2007,1506
190,2008,1498
190,2009,1540
190,2010,1580
190,2011,1564
190,2012,1569
30,1920,4
30,1921,4
30,1922,4
30,1923,4
30,1924,4
30,1925,4
30,1926,4
30,1927,4
30,1928,5
30,1929,4
30,1930,5
30,1931,6
30,1932,5
30,1933,5
30,1934,5
30,1935,4
30,1936,6
30,1937,6
