ID,year,value
190,1816,8659
190,1817,8899
190,1818,9139
190,1819,9379
190,1820,9618
190,1821,9939
190,1822,10268
190,1823,10596
190,1824,10924
190,1825,11252
190,1826,11580
190,1827,11909
190,1828,12237
190,1829,12565
190,1830,12901
190,1831,13321
190,1832,13742
190,1833,14162
190,1834,14582
190,1835,15003
190,1836,15423
190,1837,15843
190,1838,16264
190,1839,16684
190,1840,17120
190,1841,17733
190,1842,18345
190,1843,18957
190,1844,19569
190,1845,20182
190,1846,20794
190,1847,21406
190,1848,22018
190,1849,22631
190,1850,23261
190,1851,24086
190,1852,24911
190,1853,25736
190,1854,26561
190,1855,27386
190,1856,28212
190,1857,29037
190,1858,29862
190,1859,30687
190,1860,31513
190,1861,32351
190,1862,33188
190,1863,34026
190,1864,34863
190,1865,35701
190,1866,36538
190,1867,37376
190,1868,38213
190,1869,39051
190,1870,39905
190,1871,40938
190,1872,41972
190,1873,43006
190,1874,44040
190,1875,45073
190,1876,46107
190,1877,47141
190,1878,48174
190,1879,49208
190,1880,50262
190,1881,51542
190,1882,52821
190,1883,54100
190,1884,55379
190,1885,56658
190,1886,57938
190,1887,59217
190,1888,60496
190,1889,61775
190,1890,63056
190,1891,64361
190,1892,65666
190,1893,66970
190,1894,68275
190,1895,69580
190,1896,70885
190,1897,72189
190,1898,73494
190,1899,74799
190,1900,76094
190,1901,77584
190,1902,79163
190,1903,80632
190,1904,82166
190,1905,83822
190,1906,85450
190,1907,87008
190,1908,88710
190,1909,90490
190,1910,92407
190,1911,93863
190,1912,95335
190,1913,97225
190,1914,99111
190,1915,100546
190,1916,101961
190,1917,103268
190,1918,103208
190,1919,104514
190,1920,106461
190,1921,108538
190,1922,110049
190,1923,111947
190,1924,114109
190,1925,115829
190,1926,117397
190,1927,119035
190,1928,120509
190,1929,121767
190,1930,123188
190,1931,124149
190,1932,124949
190,1933,125690
190,1934,126485
190,1935,127362
190,1936,128181
190,1937,128961
190,1938,129969
190,1939,131028
190,1940,132122
190,1941,133402
190,1942,134860
190,1943,136739
190,1944,138397
190,1945,139928
190,1946,141389
190,1947,144126
190,1948,147208
190,1949,149767
190,1950,152271
190,1951,154878
190,1952,157553
190,1953,160184
190,1954,163026
190,1955,165931
190,1956,168903
190,1957,171984
190,1958,174882
190,1959,177830
190,1960,180671
190,1961,183691
190,1962,186538
190,1963,189242
190,1964,191889
190,1965,194303
190,1966,196560
190,1967,198712
190,1968,200706
190,1969,202677
190,1970,205052
190,1971,207661
190,1972,209896
190,1973,211909
190,1974,213854
190,1975,215973
190,1976,218035
190,1977,220239
190,1978,222585
190,1979,225055
190,1980,227726
190,1981,229966
190,1982,232188
190,1983,234307
190,1984,236348
190,1985,238466
190,1986,240651
190,1987,242804
190,1988,245021
190,1989,247342
190,1990,249907
190,1991,252618
190,1992,255391
190,1993,258132
190,1994,260602
190,1995,262755
190,1996,265284
190,1997,267901
190,1998,274028
190,1999,276218
190,2000,278357
190,2001,285112
190,2002,290270
190,2003,292883
190,2004,295487
190,2005,298166
190,2006,300943
190,2007,303787
190,2008,306657
190,2009,309492
190,2010,312247
190,2011,314912
190,2012,317505
30,1920,8556
30,1921,8788
30,1922,8919
30,1923,9010
30,1924,9143
30,1925,9294
30,1926,9451
30,1927,9637
30,1928,9835
30,1929,10029
30,1930,10208
30,1931,10377
30,1932,10510
30,1933,10633
30,1934,10741
30,1935,10845
30,1936,10950
30,1937,11045
30,1938,11152
30,1939,11267
30,1940,11381
30,1941,11507
30,1942,11654
30,1943,11795
30,1944,11946
30,1945,12072
30,1946,12292
30,1947,12551
30,1948,13167
30,1949,13475
30,1950,13737
30,1951,14050
30,1952,14496
30,1953,14886
30,1954,15330
30,1955,15736
30,1956,16123
30,1957,16677
30,1958,17120
30,1959,17522
30,1960,17909
30,1961,18238
30,1962,18614
30,1963,18964
30,1964,19325
30,1965,19678
30,1966,20048
30,1967,20412
30,1968,20729
30,1969,21028
30,1970,21297
30,1971,22962
30,1972,22220
30,1973,22494
30,1974,22808
30,1975,23142
30,1976,23450
30,1977,23726
30,1978,23964
30,1979,24202
30,1980,24516
30,1981,24820
30,1982,25117
30,1983,25367
30,1984,25608
30,1985,25843
30,1986,26101
30,1987,26450
30,1988,26798
30,1989,27286
30,1990,27701
30,1991,28031
30,1992,28377
30,1993,28703
30,1994,29036
30,1995,29354
30,1996,29672
30,1997,30004
30,1998,30563
30,1999,30857
30,2000,31147
30,2001,31021
30,2002,31284
30,2003,31592
30,2004,31914
30,2005,32253
30,2006,32611
30,2007,32986
30,2008,33370
30,2009,33753
30,2010,34126
30,2011,34487
30,2012,34838
44,1902,1760
44,1903,1840
44,1904,1880
44,1905,1930
44,1906,1980
44,1909,2150
44,1910,2220
44,1911,2290
44,1912,2360
44,1913,2410
44,1914,2510
44,1915,2590
44,1916,2660
44,1917,2750
44,1918,2830
44,1919,2910
44,1920,3000
44,1921,3080
44,1922,3180
44,1923,3260
44,1924,3350
44,1925,3430
44,1926,3520
44,1927,3610
44,1928,3510
44,1929,3580
44,1930,3650
44,1931,3960
44,1932,3960
44,1933,3960
44,1934,4040
44,1935,4070
44,1936,4110
44,1937,4170
44,1938,4230
44,1939,4250
44,1940,4290
44,1941,4330
44,1942,4370
44,1943,4780
44,1944,4850
44,1945,4930
44,1946,5040
44,1947,5150
44,1948,5287
44,1949,5399
44,1950,5858
44,1951,5638
44,1952,5759
44,1953,6129
44,1954,6254
44,1955,6426
44,1956,6513
44,1957,6641
44,1958,6763
44,1959,6901
44,1960,7029
44,1961,7134
44,1962,7254
44,1963,7415
44,1964,7612
44,1965,7809
44,1966,7985
44,1967,8139
44,1968,8284
44,1969,8421
44,1970,8546
44,1971,8678
44,1972,8041
44,1973,9011
44,1974,9162
44,1975,9299
44,1976,9430
44,1977,9547
44,1978,9644
44,1979,9720
44,1980,9724
44,1981,9724
44,1982,9801
44,1983,9897
44,1984,9994
44,1985,10098
44,1986,10199
44,1987,10301
44,1988,10412
44,1989,10523
44,1990,10624
44,1991,10744
44,1992,10831
44,1993,10904
44,1994,10950
44,1995,10980
44,1996,11019
44,1997,11059
44,1998,11116
44,1999,11160
44,2000,11201
44,2001,11157
44,2002,11212
44,2003,11246
44,2004,11273
44,2005,11292
44,2006,11301
44,2007,11302
44,2008,11296
44,2009,11289
44,2010,11282
44,2011,11276
44,2012,11271
50,1894,504
50,1895,523
50,1896,540
50,1897,556
50,1898,571
50,1899,585
50,1900,600
50,1901,610
50,1902,630
50,1903,640
50,1904,660
50,1905,670
50,1906,680
50,1907,700
50,1908,710
50,1909,730
50,1910,740
50,1911,750
50,1912,770
50,1913,780
50,1914,800
50,1915,810
50,1916,820
50,1924,1011
50,1925,1050
50,1926,1090
50,1927,1130
50,1928,1170
50,1929,1210
50,1930,1260
50,1931,1300
50,1932,1350
50,1933,1390
50,1934,1440
50,1935,1480
50,1936,1520
50,1937,1560
50,1938,1600
50,1939,1630
50,1940,1760
50,1941,1800
50,1942,1840
50,1943,1890
50,1944,1930
50,1945,1980
50,1946,2030
50,1947,2080
50,1948,2130
50,1949,2190
50,1950,2240
50,1951,2310
50,1952,2297
50,1953,2379
50,1954,2464
50,1955,2554
50,1956,2644
50,1957,2740
50,1958,2839
50,1959,2941
50,1960,3231
50,1961,3341
50,1962,3453
50,1963,3569
50,1964,3687
50,1965,3806
50,1966,3926
50,1967,4049
50,1968,4173
50,1969,4222
50,1970,4062
50,1971,4182
50,1972,4305
50,1973,4432
50,1974,4562
50,1975,4697
50,1976,4835
50,1977,5303
50,1978,5431
50,1979,5562
50,1980,5697
50,1981,5836
50,1982,5978
50,1983,6123
50,1984,6269
50,1985,6416
50,1986,6565
50,1987,6716
50,1988,6867
50,1989,7019
50,1990,7170
50,1991,7320
50,1992,7471
50,1993,7620
50,1994,7769
50,1995,7915
50,1996,8052
50,1997,8097
50,1998,8232
50,1999,8364
50,2000,8495
50,2001,8688
50,2002,8935
50,2003,9071
50,2004,9207
50,2005,9343
50,2006,9479
50,2007,9615
50,2008,9750
50,2009,9884
50,2010,10017
50,2011,10148
50,2012,10277
114,1831,6379
114,1832,6447
114,1833,6517
114,1834,6587
114,1835,6657
114,1836,6729
114,1837,6801
114,1838,6875
114,1839,6948
114,1840,7016
114,1841,7061
114,1842,7125
114,1843,7193
114,1844,7264
114,1845,7339
114,1846,7403
114,1847,7472
114,1848,7534
114,1849,7590
114,1850,7648
114,1851,7708
114,1852,7759
114,1853,7810
114,1854,7853
114,1855,7917
114,1856,7998
114,1857,8092
114,1858,8198
114,1859,8302
114,1860,8412
114,1861,8509
114,1862,8611
114,1863,8708
114,1864,8802
114,1865,8891
114,1866,8957
114,1867,9022
114,1868,9089
114,1869,9147
114,1870,9210
114,1871,9281
114,1872,9364
114,1873,9452
114,1874,9526
114,1875,9608
114,1876,9694
114,1877,9795
114,1878,9887
114,1879,9980
114,1880,10073
114,1881,10172
114,1882,10276
